1. 2099 Van Ness Avenue, Klamath County, Oregon 97601 (-121.77436077785265 LONG, 42.24296157686674 LAT)
504. 900 Quail Point Court, Klamath County, Oregon 97601 (-121.81024248953588 LONG, 42.24245822731907 LAT)
505. 2783 Shasta Way, Klamath County, Oregon 97603 (-121.75515032924537 LONG, 42.21404678197257 LAT)
506. 300 North 10th Street, Klamath County, Oregon 97601 (-121.78141592813998 LONG, 42.2283498919159 LAT)
507. 1786 Harmony Lane, Klamath County, Oregon 97601 (-121.77949312769775 LONG, 42.24981647477058 LAT)
508. 901 North 4th Street, Klamath County, Oregon 97601 (-121.79088673909155 LONG, 42.227398229858956 LAT)
509. 717 Quail Point Drive, Klamath County, Oregon 97601 (-121.80829984714782 LONG, 42.24236059613072 LAT)
510. 1873 Main Street, Klamath County, Oregon 97601 (-121.76968008632372 LONG, 42.22836847271119 LAT)
511. 773 Jefferson Street, Klamath County, Oregon 97601 (-121.7848260152517 LONG, 42.22796885872083 LAT)
512. 3450 Washburn Way, Klamath County, Oregon 97603 (-121.75714952198777 LONG, 42.195457318441434 LAT)
513. 99 Washington Street, Klamath County, Oregon 97601 (-121.78896106739828 LONG, 42.22278644503387 LAT)
514. 415 McKinley Street, Klamath County, Oregon 97601 (-121.78994927994206 LONG, 42.22712415778682 LAT)
515. 1800 Last Street, Klamath County, Oregon 97601 (-121.78678966355663 LONG, 42.237005048110156 LAT)
516. 949 Mitchell Street, Klamath County, Oregon 97601 (-121.75999640993153 LONG, 42.22075214705315 LAT)
517. 1552 South 6th Street, Klamath County, Oregon 97601 (-121.77317214237966 LONG, 42.21887103706659 LAT)
518. 3450 Washburn Way, Klamath County, Oregon 97603 (-121.75715003013956 LONG, 42.19521581262212 LAT)
519. 186 South Rogers Street, Klamath County, Oregon 97601 (-121.79291785448711 LONG, 42.2175150155858 LAT)
520. 527 McKinley Street, Klamath County, Oregon 97601 (-121.7892655427259 LONG, 42.22775658272727 LAT)
521. 1212 East Street, Klamath County, Oregon 97601 (-121.78163193533706 LONG, 42.23136809885282 LAT)
522. 1800 South 6th Street, Klamath County, Oregon 97601 (-121.77284057779931 LONG, 42.21871389133342 LAT)
523. 932 Cypress Avenue, Klamath County, Oregon 97601 (-121.79608808995715 LONG, 42.21979455445436 LAT)
524. 1800 Harmony Lane, Klamath County, Oregon 97601 (-121.778853597627 LONG, 42.24982589339345 LAT)
525. 576 Commercial Street, Klamath County, Oregon 97601 (-121.7767468304257 LONG, 42.22383281897865 LAT)
526. 804 South Broad Street, Klamath County, Oregon 97601 (-121.77560638121119 LONG, 42.221509059337876 LAT)
527. 2539 Dahlia Street, Klamath County, Oregon 97601 (-121.78888773636298 LONG, 42.2491478786671 LAT)
528. 1500 Lookout Avenue, Klamath County, Oregon 97601 (-121.78843265692596 LONG, 42.23401826822666 LAT)
529. 1899 Quail Ridge Drive, Klamath County, Oregon 97601 (-121.77766309105657 LONG, 42.24829991540331 LAT)
530. 2969 Shasta Way, Klamath County, Oregon 97603 (-121.75278140543232 LONG, 42.21382495714031 LAT)
531. 1399 Elm Avenue, Klamath County, Oregon 97601 (-121.77572748644862 LONG, 42.22236727395381 LAT)
532. 800 Delta Street, Klamath County, Oregon 97601 (-121.78826522590518 LONG, 42.23490857308473 LAT)
533. 1752 Wade Circle, Klamath County, Oregon 97601 (-121.77993189055854 LONG, 42.24909519166159 LAT)
534. 3398 Town Center Drive, Klamath County, Oregon 97601 (-121.78035365129763 LONG, 42.252538090012926 LAT)
535. 1118 Applewood Street, Klamath County, Oregon 97603 (-121.75529152968838 LONG, 42.21916548041725 LAT)
536. 816 South Broad Street, Klamath County, Oregon 97601 (-121.77560516377339 LONG, 42.22140986600719 LAT)
537. 1698 Pleasant Avenue, Klamath County, Oregon 97601 (-121.78955511852357 LONG, 42.235543391409635 LAT)
538. 975 North Eldorado Avenue, Klamath County, Oregon 97601 (-121.77508803294805 LONG, 42.2364117466787 LAT)
539. 401 Mount Whitney Street, Klamath County, Oregon 97601 (-121.79222677698272 LONG, 42.22822911317031 LAT)
540. 798 Lakeshore Drive, Klamath County, Oregon 97601 (-121.80809990975209 LONG, 42.23492505595602 LAT)
541. 838 South Broad Street, Klamath County, Oregon 97601 (-121.77560312310749 LONG, 42.22124359841794 LAT)
542. 3399 Town Center Drive, Klamath County, Oregon 97601 (-121.78049739085972 LONG, 42.252880991583005 LAT)
543. 1951 Portland Street, Klamath County, Oregon 97601 (-121.77375144356469 LONG, 42.23617412865522 LAT)
544. 598 Mount Whitney Street, Klamath County, Oregon 97601 (-121.79039304695416 LONG, 42.229331122257406 LAT)
545. 1501 South 6th Street, Klamath County, Oregon 97601 (-121.77384805771804 LONG, 42.21901793726148 LAT)
546. 801 Dolores Avenue, Klamath County, Oregon 97601 (-121.7760272650456 LONG, 42.23411298480341 LAT)
547. 1968 Portland Street, Klamath County, Oregon 97601 (-121.77329301198884 LONG, 42.236208045313475 LAT)
548. 563 Mount Whitney Street, Klamath County, Oregon 97601 (-121.79065397869817 LONG, 42.22909325542236 LAT)
549. 1854 South 6th Street, Klamath County, Oregon 97601 (-121.7700946874157 LONG, 42.217638472904845 LAT)
550. 803 North Eldorado Avenue, Klamath County, Oregon 97601 (-121.77434983074146 LONG, 42.23477260307675 LAT)
551. 968 North 8th Street, Klamath County, Oregon 97601 (-121.78855015865133 LONG, 42.23054698324617 LAT)
552. 1216 Shelley Street, Klamath County, Oregon 97601 (-121.78394042122065 LONG, 42.23791973711477 LAT)
553. 2865 Daggett Avenue, Klamath County, Oregon 97601 (-121.78296491841148 LONG, 42.252943287451515 LAT)
554. 1904 Auburn Street, Klamath County, Oregon 97601 (-121.77258607264989 LONG, 42.23192403942403 LAT)
555. 1261 Vista Way, Klamath County, Oregon 97601 (-121.81827224250196 LONG, 42.232198577092724 LAT)
556. 836 Ponderosa Drive, Klamath County, Oregon 97601 (-121.81827367756446 LONG, 42.228807983079506 LAT)
557. 1501 South 6th Street, Klamath County, Oregon 97601 (-121.77386859388379 LONG, 42.2190323984606 LAT)
558. 1101 Shelley Street, Klamath County, Oregon 97601 (-121.78508161532191 LONG, 42.23792015931014 LAT)
559. 3046 Bryant Williams Drive, Klamath County, Oregon 97601 (-121.78276257262657 LONG, 42.251974878697105 LAT)
560. 1841 Esplanade Avenue, Klamath County, Oregon 97601 (-121.77396845395887 LONG, 42.23268649491732 LAT)
561. 1101 Shelley Street, Klamath County, Oregon 97601 (-121.78514719389186 LONG, 42.237920183571546 LAT)
562. 2865 Daggett Avenue, Klamath County, Oregon 97601 (-121.78505268311733 LONG, 42.25203127477512 LAT)
563. 1884 Wade Circle, Klamath County, Oregon 97601 (-121.77875669334318 LONG, 42.24690938424875 LAT)
564. 796 Ponderosa Drive, Klamath County, Oregon 97601 (-121.81801576221643 LONG, 42.22760568723902 LAT)
565. 873 Upham Street, Klamath County, Oregon 97601 (-121.7874436660529 LONG, 42.23198224792144 LAT)
566. 529 Roosevelt Street, Klamath County, Oregon 97601 (-121.79006760175926 LONG, 42.22830964440459 LAT)
567. 2865 Daggett Avenue, Klamath County, Oregon 97601 (-121.78448309819902 LONG, 42.25230940379472 LAT)
568. 29 Ridgecrest Drive, Klamath County, Oregon 97601 (-121.78097442629159 LONG, 42.24580520067077 LAT)
569. 862 Ponderosa Drive, Klamath County, Oregon 97601 (-121.81896662248107 LONG, 42.22801557587927 LAT)
570. 1173 Owens Street, Klamath County, Oregon 97601 (-121.76674536344217 LONG, 42.21878612883415 LAT)
571. 778 Wiard Street, Klamath County, Oregon 97603 (-121.72787666693388 LONG, 42.220612879472036 LAT)
572. 320 North 6th Street, Klamath County, Oregon 97601 (-121.78458518970788 LONG, 42.225933170690794 LAT)
573. 2865 Daggett Avenue, Klamath County, Oregon 97601 (-121.78456875527338 LONG, 42.25206194006511 LAT)
574. 942 Ponderosa Drive, Klamath County, Oregon 97601 (-121.82007478240818 LONG, 42.22843085893693 LAT)
575. 1313 Owens Street, Klamath County, Oregon 97601 (-121.76673407254547 LONG, 42.21819390435598 LAT)
576. 1024 Wiard Street, Klamath County, Oregon 97603 (-121.72777781391673 LONG, 42.21919861786086 LAT)
577. 1015 McKinley Street, Klamath County, Oregon 97601 (-121.785180054483 LONG, 42.23155425702066 LAT)
578. 899 Dolores Avenue, Klamath County, Oregon 97601 (-121.77675751892197 LONG, 42.235502209058744 LAT)
579. 1877 Avalon Street, Klamath County, Oregon 97603 (-121.75365779450485 LONG, 42.21193283118877 LAT)
580. 1448 East Main Street, Klamath County, Oregon 97601 (-121.76518467223518 LONG, 42.2163204517133 LAT)
581. 2208 Kiln Street, Klamath County, Oregon 97601 (-121.79952827072285 LONG, 42.24132844715465 LAT)
582. 1435 North Alameda Avenue, Klamath County, Oregon 97601 (-121.78035580278046 LONG, 42.22998826643643 LAT)
583. 2150 South 6th Street, Klamath County, Oregon 97603 (-121.76388558316552 LONG, 42.21475721699453 LAT)
584. 201 Princeton Street, Klamath County, Oregon 97601 (-121.79917952857036 LONG, 42.2421272758048 LAT)
585. 421 South 7th Street, Klamath County, Oregon 97601 (-121.77880805720181 LONG, 42.223700093300735 LAT)
586. 2099 Garden Avenue, Klamath County, Oregon 97601 (-121.76520465414374 LONG, 42.22289919840541 LAT)
587. 1100 West Ridge Drive, Klamath County, Oregon 97601 (-121.8228104580993 LONG, 42.21745792336871 LAT)
588. 2150 South 6th Street, Klamath County, Oregon 97603 (-121.7642601918378 LONG, 42.21494888319059 LAT)
589. 498 Upham Street, Klamath County, Oregon 97601 (-121.79167010981809 LONG, 42.231926174246226 LAT)
590. 3091 Century Drive, Klamath County, Oregon 97601 (-121.79180107004798 LONG, 42.26038153997985 LAT)
591. 1505 Esplanade Avenue, Klamath County, Oregon 97601 (-121.77570256484996 LONG, 42.23075154057444 LAT)
592. 2118 Holly Avenue, Klamath County, Oregon 97601 (-121.77007913126887 LONG, 42.227401085435744 LAT)
593. 2101 South 6th Street, Klamath County, Oregon 97601 (-121.7649419157609 LONG, 42.215152548588044 LAT)
594. 500 Hawthorne Street, Klamath County, Oregon 97601 (-121.79141389914513 LONG, 42.24178766857184 LAT)
595. 4033 Uhrmann Road, Klamath County, Oregon 97601 (-121.78974204677439 LONG, 42.26356499161092 LAT)
596. 1701 Menlo Way, Klamath County, Oregon 97601 (-121.77374614437771 LONG, 42.230695910656685 LAT)
597. 2374 Modoc Street, Klamath County, Oregon 97601 (-121.79263073378796 LONG, 42.24183717101974 LAT)
598. 4031 Uhrmann Road, Klamath County, Oregon 97601 (-121.78985119610303 LONG, 42.26343192094371 LAT)
599. 1685 Esplanade Avenue, Klamath County, Oregon 97601 (-121.77537472859771 LONG, 42.23100229644617 LAT)
600. 406 Homedale Road, Klamath County, Oregon 97603 (-121.72233626078564 LONG, 42.22848888722848 LAT)
601. 5100 Lyptus Lane, Klamath County, Oregon 97601 (-121.822662748805 LONG, 42.21592601899539 LAT)
602. 845 Lytton Street, Klamath County, Oregon 97601 (-121.78719074871485 LONG, 42.23986001456835 LAT)
603. 833 Homedale Road, Klamath County, Oregon 97603 (-121.7221413677602 LONG, 42.223661374437825 LAT)
604. 1401 Wall Street, Klamath County, Oregon 97601 (-121.77646924583694 LONG, 42.22945224218408 LAT)
605. 1119 Paper Birch Way, Klamath County, Oregon 97601 (-121.83266935792518 LONG, 42.22015065344851 LAT)
606. 2285 South 6th Street, Klamath County, Oregon 97601 (-121.76226209331077 LONG, 42.21404508909852 LAT)
607. 1101 Paper Birch Way, Klamath County, Oregon 97601 (-121.8316920076984 LONG, 42.22140471416606 LAT)
608. 2075 Radcliffe Avenue, Klamath County, Oregon 97601 (-121.76538702965752 LONG, 42.215942856039455 LAT)
609. 1007 Pine Street, Klamath County, Oregon 97601 (-121.77935080174836 LONG, 42.22848891601544 LAT)
610. 457 Homedale Road, Klamath County, Oregon 97603 (-121.72237136877061 LONG, 42.227205687041284 LAT)
611. 1105 Paper Birch Way, Klamath County, Oregon 97601 (-121.83184439343565 LONG, 42.22109350813849 LAT)
612. 2013 Owens Street, Klamath County, Oregon 97601 (-121.76590525850617 LONG, 42.21630692493104 LAT)
613. 505 South Spring Street, Klamath County, Oregon 97601 (-121.77264499072928 LONG, 42.224043884191914 LAT)
614. 1245 Pine Street, Klamath County, Oregon 97601 (-121.77882529842799 LONG, 42.228781045436065 LAT)
615. 5465 Benchwood Avenue, Klamath County, Oregon 97603 (-121.72087805076676 LONG, 42.228966312536 LAT)
616. 1199 Oregon Ash Circle, Klamath County, Oregon 97601 (-121.83076149936947 LONG, 42.218640900600406 LAT)
617. 2081 White Avenue, Klamath County, Oregon 97601 (-121.76547948159373 LONG, 42.21675364910343 LAT)
618. 628 Market Street, Klamath County, Oregon 97601 (-121.77417653223682 LONG, 42.22325999234596 LAT)
619. 5481 Benchwood Avenue, Klamath County, Oregon 97603 (-121.72050648749342 LONG, 42.22896532089785 LAT)
